pilihan 1,pilihan 2,pilihan 3
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah)
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Bimbingan Konseling Pendidikan Islam
UIN Walisongo Semarang  - Pendidikan Guru Madrasah Ibtidaiyah,,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Islam Anak Usia Dini
UIN Sunan Kalijaga Yogyakarta  - Bahasa dan Sastra Arab,,UIN Syarif Hidayatullah Jakarta - Komunikasi Penyiaran Islam
UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah),,
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,,
UIN Sumatera Utara Medan - Hukum Pidana Islam (Jinayah),UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sumatera Utara Medan - Hukum Tata Negara (Siyasah),UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam
